Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum,Cook_menu,Micro_t,Oven_t,MenuFreq,S1,S2,recent_ct,time,Y
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,34.547206165703265,1347.0967741935485,8,0,60,810,11,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,4,34.65290806754221,1347.0967741935485,2,0,60,0,18,1110
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,4,34.66786355475763,1287.2727272727273,3,0,90,0,16,930
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.51114922813036,1309.4117647058827,15,0,60,0,7,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.64882943143812,1309.4117647058827,16,0,30,150,9,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.592,1305.0,17,0,120,0,23,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.4822256568779,1312.7027027027027,18,0,30,1590,10,1590
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.486983154670746,1316.0526315789473,19,0,60,80,10,1440
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,4,34.451127819548866,1316.0526315789473,4,0,60,80,18,1110
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,19,34.37869822485207,1316.0526315789473,1,0,60,1590,14,660
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.333333333333336,1323.076923076923,20,0,90,1590,19,1590
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,34.311797752808985,1323.076923076923,9,0,30,0,8,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,34.311797752808985,1323.076923076923,10,0,30,275,9,174
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,34.311797752808985,1323.076923076923,11,0,30,1440,9,201
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,34.293706293706286,1323.076923076923,21,0,60,0,18,1740
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,33.959899749373434,1323.076923076923,22,0,60,1740,8,1740
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,4,33.88683886838869,1299.0,5,0,600,120,18,1110
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,33.83495145631068,1309.7560975609756,23,0,30,275,12,1740
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,33.76638855780691,1323.5714285714287,24,0,60,1440,20,1890
