DEVICE_ID,Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum
id_00100,58.95,21,479,416,43,41,333,58,109,159,342,20,138,183,159,3,12,67,66,17,18
id_00101,21.1,41,553,546,21,27,293,144,157,148,357,67,170,203,154,0,4,110,40,25,13
id_00103,52.38,127,529,461,55,140,450,95,111,238,407,74,175,314,92,40,44,132,80,27,14
id_00104,42.07,33,710,460,213,70,552,37,154,332,519,13,211,328,160,51,37,260,238,16,14
id_00105,26.53,29,658,574,106,7,519,72,96,180,450,34,203,275,149,0,5,334,63,7,10
id_00107,99.75,176,836,478,210,324,574,250,188,267,613,102,297,368,244,45,54,432,328,40,14
id_00108,28.63,11,902,888,0,25,546,217,150,249,514,150,249,330,169,0,0,96,87,10,9
id_00109,64.48,89,93,15,43,124,120,26,36,55,132,27,23,78,54,3,40,58,87,17,12
id_00110,94.63,49,964,891,35,87,548,78,387,343,621,225,167,275,339,0,26,130,107,19,14
id_00111,66.35,93,768,674,125,62,613,125,123,255,427,187,247,270,157,49,20,267,161,33,18
id_00112,90.05,48,1422,1084,308,78,1030,202,238,498,776,379,315,397,374,80,38,237,155,23,12
id_00113,110.12,43,793,516,288,32,550,107,179,296,500,104,232,403,97,91,44,255,46,18,15
id_00115,284.4,189,725,456,66,392,656,71,187,308,442,179,293,352,86,9,60,113,105,46,17
id_00116,70.88,210,590,445,100,255,534,124,142,324,631,37,132,382,247,4,22,206,135,39,13
id_00118,55.88,126,240,200,76,90,257,46,63,159,184,101,81,162,22,1,8,156,112,37,17
id_00119,89.22,516,596,629,74,409,785,144,183,384,639,338,135,590,48,11,61,457,465,45,16
id_00120,71.85,6,819,642,45,138,498,116,211,297,315,223,287,274,41,5,13,262,264,10,12
id_00123,84.27,113,2480,2291,192,110,1653,462,478,852,990,687,916,711,263,1,15,1082,226,28,15
id_00124,19.2,7,645,597,35,20,462,74,116,209,446,60,146,157,247,11,62,193,80,12,12
id_00125,38.03,38,861,863,12,24,606,107,186,352,386,299,214,361,24,0,3,164,52,22,12
id_00127,15.27,14,1016,994,15,21,689,149,192,361,602,216,212,328,274,1,6,98,41,10,9
id_00128,41.52,32,585,460,82,75,354,160,103,188,372,59,186,280,92,36,23,180,131,23,15
id_00129,48.8,53,1578,1492,73,66,1292,143,196,482,766,373,492,435,323,27,19,238,43,13,11
id_00131,23.52,26,958,930,24,30,589,199,196,333,431,260,293,350,80,3,24,41,42,23,14
id_00134,28.47,111,255,305,6,55,252,48,66,77,161,122,83,94,67,1,11,83,104,20,13
id_00135,62.8,176,521,390,103,204,480,89,128,262,316,63,318,263,51,20,14,268,157,37,17
id_00137,31.4,10,798,708,69,31,528,120,160,256,328,228,252,279,46,43,18,131,151,9,10
id_00138,128.38,103,1527,1254,179,197,956,334,340,411,801,371,458,620,181,58,13,354,340,30,16
id_00139,24.25,24,311,277,27,31,203,41,91,110,161,49,125,104,57,5,2,47,15,17,13
id_00141,34.72,59,785,732,7,105,597,104,143,294,673,81,90,441,229,1,9,213,31,21,15
id_00150,29.82,21,758,683,61,35,519,106,154,223,562,83,134,284,232,17,137,255,100,16,12
